Dataset,Primary_Model,Secondary_Model,Hybrid_Combination,Accuracy,Precision,Recall,F1_Score,AUC,Time_Seconds
D1,M1,M6,M1 + M6,0.999,1.0,0.5,0.6666666666666666,0.7492484969939879,0.34731125831604004
D1,M2,M6,M2 + M6,0.996,0.0,0.0,0.0,0.4904809619238477,0.2838912010192871
D1,M3,M6,M3 + M6,0.998,0.0,0.0,0.0,0.688877755511022,0.17847704887390137
D1,M4,M6,M4 + M6,0.999,1.0,0.5,0.6666666666666666,0.7449899799599199,0.11481499671936035
D1,M5,M6,M5 + M6,0.993,0.14285714285714285,0.5,0.2222222222222222,0.8892785571142284,0.45998382568359375
D1,M1,M7,M1 + M7,0.999,1.0,0.5,0.6666666666666666,0.7492484969939879,0.23665976524353027
D1,M2,M7,M2 + M7,0.997,0.0,0.0,0.0,0.49448897795591185,0.2639889717102051
D1,M3,M7,M3 + M7,0.998,0.0,0.0,0.0,0.686372745490982,0.09013700485229492
D1,M4,M7,M4 + M7,0.999,1.0,0.5,0.6666666666666666,0.7452404809619239,0.1634829044342041
D1,M5,M7,M5 + M7,0.997,0.0,0.0,0.0,0.6918837675350701,0.5348117351531982
D1,M1,M8,M1 + M8,0.999,1.0,0.5,0.6666666666666666,0.7492484969939879,0.24232792854309082
D1,M2,M8,M2 + M8,0.973,0.0,0.0,0.0,0.4453907815631263,0.18122076988220215
D1,M3,M8,M3 + M8,0.998,0.0,0.0,0.0,0.6988977955911824,0.08083391189575195
D1,M4,M8,M4 + M8,0.999,1.0,0.5,0.6666666666666666,0.7442384769539078,0.11577796936035156
D1,M5,M8,M5 + M8,0.989,0.0,0.0,0.0,0.43186372745490975,0.4279060363769531
D1,M1,M9,M1 + M9,0.999,1.0,0.5,0.6666666666666666,0.7492484969939879,0.2381300926208496
D1,M2,M9,M2 + M9,0.994,0.0,0.0,0.0,0.2763026052104208,0.3585371971130371
D1,M3,M9,M3 + M9,0.998,0.0,0.0,0.0,0.6012024048096192,0.13116002082824707
D1,M4,M9,M4 + M9,0.999,1.0,0.5,0.6666666666666666,0.7429859719438877,0.11517620086669922
D1,M5,M9,M5 + M9,0.998,0.0,0.0,0.0,0.6447895791583166,0.6120989322662354
D1,M1,M10,M1 + M10,0.999,1.0,0.5,0.6666666666666666,0.7492484969939879,0.23663616180419922
D1,M2,M10,M2 + M10,0.995,0.0,0.0,0.0,0.6122244488977956,0.2808549404144287
D1,M3,M10,M3 + M10,0.998,0.0,0.0,0.0,0.6382765531062125,0.07788705825805664
D1,M4,M10,M4 + M10,0.999,1.0,0.5,0.6666666666666666,0.7444889779559117,0.11568117141723633
D1,M5,M10,M5 + M10,0.997,0.3333333333333333,0.5,0.4,0.7700400801603207,0.5288970470428467
D2,M1,M6,M1 + M6,0.997,1.0,0.8333333333333334,0.9090909090909091,0.9998868522290111,0.375885009765625
D2,M2,M6,M2 + M6,0.996,1.0,0.7777777777777778,0.875,0.9993776872595611,0.43734097480773926
D2,M3,M6,M3 + M6,0.994,0.9285714285714286,0.7222222222222222,0.8125,0.9996605566870332,0.06923818588256836
D2,M4,M6,M4 + M6,0.995,1.0,0.7222222222222222,0.8387096774193549,0.9994342611450554,0.16966724395751953
D2,M5,M6,M5 + M6,0.982,0.0,0.0,0.0,0.8639398053858339,1.011902093887329
D2,M1,M7,M1 + M7,0.996,1.0,0.7777777777777778,0.875,0.9990382439465942,0.37618184089660645
D2,M2,M7,M2 + M7,0.994,1.0,0.6666666666666666,0.8,0.9989250961756053,0.4097158908843994
D2,M3,M7,M3 + M7,0.997,1.0,0.8333333333333334,0.9090909090909091,0.9997171305725278,0.0695962905883789
D2,M4,M7,M4 + M7,0.993,1.0,0.6111111111111112,0.7586206896551724,0.9994342611450554,0.1567680835723877
D2,M5,M7,M5 + M7,0.982,0.0,0.0,0.0,0.8895112016293278,0.9958479404449463
D2,M1,M8,M1 + M8,0.995,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.9992079656030776,0.34062719345092773
D2,M2,M8,M2 + M8,0.994,1.0,0.6666666666666666,0.8,0.9976804706947273,0.4247758388519287
D2,M3,M8,M3 + M8,0.998,1.0,0.8888888888888888,0.9411764705882353,0.9996605566870334,0.06461286544799805
D2,M4,M8,M4 + M8,0.992,1.0,0.5555555555555556,0.7142857142857143,0.9981047748359357,0.15735816955566406
D2,M5,M8,M5 + M8,0.983,1.0,0.05555555555555555,0.10526315789473684,0.8336162027608056,0.9185149669647217
D2,M1,M9,M1 + M9,0.994,1.0,0.6666666666666666,0.8,0.9996605566870332,0.3784010410308838
D2,M2,M9,M2 + M9,0.995,1.0,0.7222222222222222,0.8387096774193549,0.999264539488572,0.4134221076965332
D2,M3,M9,M3 + M9,0.997,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9998868522290111,0.06290984153747559
D2,M4,M9,M4 + M9,0.993,1.0,0.6111111111111112,0.7586206896551724,0.9985290789771442,0.15720772743225098
D2,M5,M9,M5 + M9,0.981,0.0,0.0,0.0,0.8897374971713057,1.059736967086792
D2,M1,M10,M1 + M10,0.996,1.0,0.7777777777777778,0.875,0.9999999999999999,0.4137282371520996
D2,M2,M10,M2 + M10,0.994,0.9285714285714286,0.7222222222222222,0.8125,0.9990948178320886,0.5185501575469971
D2,M3,M10,M3 + M10,0.998,1.0,0.8888888888888888,0.9411764705882353,0.9998302783435167,0.06342601776123047
D2,M4,M10,M4 + M10,0.993,1.0,0.6111111111111112,0.7586206896551724,0.9994342611450554,0.15448331832885742
D2,M5,M10,M5 + M10,0.977,0.2727272727272727,0.16666666666666666,0.20689655172413793,0.9232575243267708,0.9933340549468994
D3,M1,M6,M1 + M6,0.97,0.9834368530020704,0.9557344064386318,0.9693877551020408,0.9956038417383025,2.1947152614593506
D3,M2,M6,M2 + M6,0.984,0.9898167006109979,0.9778672032193159,0.9838056680161943,0.9994759811353209,0.5374689102172852
D3,M3,M6,M3 + M6,0.982,0.9897750511247444,0.9738430583501007,0.9817444219066938,0.999023964862735,0.1941521167755127
D3,M4,M6,M4 + M6,0.976,0.9958071278825996,0.9557344064386318,0.9753593429158111,0.9979859274933898,0.7027459144592285
D3,M5,M6,M5 + M6,0.942,0.9720430107526882,0.9094567404426559,0.9397089397089398,0.9828553827937805,1.1180028915405273
D3,M1,M7,M1 + M7,0.969,0.9854166666666667,0.9517102615694165,0.9682702149437052,0.9967118816277386,2.1923739910125732
D3,M2,M7,M2 + M7,0.983,0.9897959183673469,0.9758551307847082,0.9827760891590679,0.9994479801272846,0.5785939693450928
