Dataset,Primary_Model,Secondary_Model,Hybrid_Combination,Accuracy,Precision,Recall,F1_Score,AUC,Time_Seconds
D1,M1,M6,M1 + M6,0.9982004268681769,0.3818912011683096,0.6366402921485088,0.47740757644910997,0.7603526720054382,0.7614917755126953
D1,M2,M6,M2 + M6,0.9996015792236531,0.9486571879936809,0.7309799147900182,0.8257133035407357,0.9603749749833874,3.9419589042663574
D1,M3,M6,M3 + M6,0.9991937283697596,0.684179104477612,0.6975045648204504,0.6907775768535263,0.9846248128888319,26.594881057739258
D1,M4,M6,M4 + M6,0.9996314411358843,0.9643987341772152,0.7419354838709677,0.8386652906776746,0.9699297102636326,5.152859926223755
D1,M5,M6,M5 + M6,0.9995064926083909,0.9686057248384118,0.6384662203286671,0.7696258253851798,0.9923384036932665,9.83485221862793
D1,M1,M7,M1 + M7,0.9986208511587994,0.47219463753723934,0.5788192331101644,0.5200984413453651,0.7341721542538588,0.7620120048522949
D1,M2,M7,M2 + M7,0.9996110093011998,0.9456521739130435,0.7413268411442483,0.8311156601842374,0.9662228360214161,4.049030065536499
D1,M3,M7,M3 + M7,0.9992966733829775,0.751006711409396,0.6810712111990261,0.7143313118416853,0.9934278408943593,26.233558893203735
D1,M4,M7,M4 + M7,0.9996298694562932,0.9650793650793651,0.7401095556908095,0.8377540475370306,0.9773094297519394,5.2535927295684814
D1,M5,M7,M5 + M7,0.9995088501277776,0.9678308823529411,0.6409007912355448,0.7711461003295497,0.9926924904490285,9.70605993270874
D1,M1,M8,M1 + M8,0.9984173186517504,0.4248683677602268,0.6384662203286671,0.5102140077821011,0.7752027588696416,0.7139320373535156
D1,M2,M8,M2 + M8,0.9995937208256976,0.9763113367174281,0.7023737066342057,0.8169911504424778,0.9741121001504536,4.232345819473267
D1,M3,M8,M3 + M8,0.9993673989645775,0.7858117326057299,0.7011564211807669,0.7410743004181409,0.9962063084639706,26.92514181137085
D1,M4,M8,M4 + M8,0.9996133668205864,0.9585657370517928,0.7321972002434571,0.8302277432712215,0.9731560201496618,5.542380094528198
D1,M5,M8,M5 + M8,0.9995017775696176,0.9737089201877934,0.631162507608034,0.7658788774002954,0.9925846315888996,12.382736921310425
D1,M1,M9,M1 + M9,0.9988290987046217,0.5354988399071926,0.7023737066342057,0.6076882569773565,0.8389645272040626,0.7114698886871338
D1,M2,M9,M2 + M9,0.9995960783450842,0.949800796812749,0.7255021302495435,0.8226363008971704,0.9517849796666733,3.8956298828125
D1,M3,M9,M3 + M9,0.9991387195840707,0.8923959827833573,0.37857577601947656,0.5316239316239316,0.7106821668376454,26.40156316757202
D1,M4,M9,M4 + M9,0.999628297776702,0.9606299212598425,0.7425441265976872,0.8376244421558531,0.965614199999493,5.4463160037994385
D1,M5,M9,M5 + M9,0.9994844890941154,0.9651272384542884,0.6232501521606817,0.757396449704142,0.9935553203829111,12.803115129470825
D1,M1,M10,M1 + M10,0.9979183103815724,0.3127326880119136,0.5112598904443092,0.3880803880803881,0.6466064243883654,0.7295176982879639
D1,M2,M10,M2 + M10,0.9996165101797687,0.9494163424124513,0.7425441265976872,0.8333333333333334,0.9690622659931819,4.081250905990601
D1,M3,M10,M3 + M10,0.9990334170514662,0.7349260523321957,0.39318320146074254,0.5122918318794607,0.5889458336334508,25.242666959762573
D1,M4,M10,M4 + M10,0.999628297776702,0.9628164556962026,0.740718198417529,0.8372893016855865,0.994379804629162,5.269417762756348
D1,M5,M10,M5 + M10,0.9994915616522754,0.915,0.6682897139379185,0.7724234963067182,0.992885577087343,10.03084683418274
D2,M1,M6,M1 + M6,0.9985,0.9354838709677419,0.9666666666666667,0.9508196721311475,0.9998477157360406,0.739699125289917
D2,M2,M6,M2 + M6,0.995,1.0,0.6666666666666666,0.8,0.9993231810490694,0.11071610450744629
D2,M3,M6,M3 + M6,0.998,0.9642857142857143,0.9,0.9310344827586207,0.9997292724196278,0.680952787399292
D2,M4,M6,M4 + M6,0.9985,1.0,0.9,0.9473684210526315,1.0,0.14653897285461426
D2,M5,M6,M5 + M6,0.994,0.78125,0.8333333333333334,0.8064516129032258,0.9960236886632826,1.1191580295562744
D2,M1,M7,M1 + M7,0.9975,0.9629629629629629,0.8666666666666667,0.9122807017543859,0.9998477157360406,0.6193902492523193
D2,M2,M7,M2 + M7,0.995,1.0,0.6666666666666666,0.8,0.9987817258883249,0.15970993041992188
D2,M3,M7,M3 + M7,0.998,0.9642857142857143,0.9,0.9310344827586207,0.9999323181049069,0.6832802295684814
D2,M4,M7,M4 + M7,0.997,1.0,0.8,0.8888888888888888,1.0,0.14754104614257812
D2,M5,M7,M5 + M7,0.9935,0.7575757575757576,0.8333333333333334,0.7936507936507936,0.9957868020304569,1.1517040729522705
D2,M1,M8,M1 + M8,0.9995,1.0,0.9666666666666667,0.9830508474576272,0.9999661590524535,0.5181849002838135
D2,M2,M8,M2 + M8,0.9945,1.0,0.6333333333333333,0.7755102040816326,0.998595600676819,0.11163115501403809
D2,M3,M8,M3 + M8,0.999,1.0,0.9333333333333333,0.9655172413793104,1.0,0.6918792724609375
D2,M4,M8,M4 + M8,0.9965,1.0,0.7666666666666667,0.8679245283018868,1.0,0.15190601348876953
D2,M5,M8,M5 + M8,0.993,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.9958375634517767,1.3468949794769287
D2,M1,M9,M1 + M9,0.999,1.0,0.9333333333333333,0.9655172413793104,0.9998984771573605,0.46622276306152344
D2,M2,M9,M2 + M9,0.9945,1.0,0.6333333333333333,0.7755102040816326,0.9990270727580373,0.11333894729614258
D2,M3,M9,M3 + M9,0.9985,1.0,0.9,0.9473684210526315,0.9999153976311336,0.6856138706207275
D2,M4,M9,M4 + M9,0.9975,1.0,0.8333333333333334,0.9090909090909091,1.0,0.15644383430480957
D2,M5,M9,M5 + M9,0.9915,0.7407407407407407,0.6666666666666666,0.7017543859649122,0.9941116751269036,1.441551923751831
D2,M1,M10,M1 + M10,0.998,0.9642857142857143,0.9,0.9310344827586207,0.9998646362098138,0.6322696208953857
D2,M2,M10,M2 + M10,0.992,0.8888888888888888,0.5333333333333333,0.6666666666666666,0.9984856175972927,0.11411714553833008
D2,M3,M10,M3 + M10,0.9985,0.9354838709677419,0.9666666666666667,0.9508196721311475,0.9999153976311338,0.6897339820861816
D2,M4,M10,M4 + M10,0.9975,1.0,0.8333333333333334,0.9090909090909091,0.9998223350253808,0.15957903861999512
D2,M5,M10,M5 + M10,0.993,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.9943147208121828,1.4188892841339111
D3,M1,M6,M1 + M6,0.998760177971616,0.9980332244582587,0.9994900022861967,0.9987610821639765,0.9997810670403784,1.782181978225708
D3,M2,M6,M2 + M6,0.9997713803351916,0.9995429696426374,1.0,0.9997714325901962,0.999988438797826,3.302910804748535
D3,M3,M6,M3 + M6,0.9808574996043121,0.9898248002579628,0.971703919947945,0.9806806584727338,0.9986196932212086,162.52249813079834
D3,M4,M6,M4 + M6,0.9996922427589118,0.9994375307600366,0.9999472416158135,0.9996923212166499,0.9999876003617045,22.127026796340942
D3,M5,M6,M5 + M6,0.9996746566308495,0.9993497363796133,1.0,0.9996747624447316,0.999934339256044,19.421124696731567
D3,M1,M7,M1 + M7,0.9988744878040202,0.9981736122086999,0.9995779329265075,0.9988752789835333,0.9995809942544118,1.8543050289154053
D3,M2,M7,M2 + M7,0.9997713803351916,0.9995429696426374,1.0,0.9997714325901962,0.9999887590488787,3.5485777854919434
D3,M3,M7,M3 + M7,0.9810685331410584,0.9891109998569589,0.972847018271987,0.9809115975565427,0.9987438488791923,161.47694993019104
D3,M4,M7,M4 + M7,0.9996394843747252,0.9994199128111376,0.9998593109755025,0.999639563608232,0.9999876071656864,22.403428077697754
D3,M5,M7,M5 + M7,0.999428450837979,0.9988582068577853,1.0,0.9994287773198232,0.9999242537447419,16.94870686531067
D3,M1,M8,M1 + M8,0.998575523626963,0.9980499973648613,0.9991031074688286,0.9985762747613942,0.9992278357437354,1.6004841327667236
D3,M2,M8,M2 + M8,0.9997537942071294,0.9995078307640928,1.0,0.9997538548095012,0.9999887466780026,3.463395118713379
D3,M3,M8,M3 + M8,0.9803562949545399,0.9889026114661083,0.9716159893076342,0.9801830890962637,0.9986207829407491,159.58793020248413
D3,M4,M8,M4 + M8,0.9996834496948807,0.9994199637916791,0.9999472416158135,0.999683533176272,0.9999857815336592,21.640254020690918
D3,M5,M8,M5 + M8,0.9989975907004555,0.997999192656686,1.0,0.9989985945186226,0.9999321214672476,16.806064128875732
D3,M1,M9,M1 + M9,0.9988305224838647,0.9981209609440854,0.9995427606703832,0.9988313548375759,0.9994803748065788,1.729680061340332
D3,M2,M9,M2 + M9,0.9997625872711605,0.9995253998945333,1.0,0.9997626436225858,0.9999887387915692,3.457404851913452
D3,M3,M9,M3 + M9,0.9788263018131298,0.9884469798898516,0.9689780700983065,0.9786157043141573,0.9985587392863021,159.22493505477905
D3,M4,M9,M4 + M9,0.9996922427589118,0.9994550887677975,0.9999296554877513,0.9996923158070556,0.9999860570949224,21.645868062973022
D3,M5,M9,M5 + M9,0.9993756924537924,0.998752942003021,1.0,0.9993760819705264,0.9999416849275823,11.495569944381714
D3,M1,M10,M1 + M10,0.998663454267274,0.9978929254973574,0.99943724390201,0.9986644876728697,0.9993673586585331,1.591752052307129
D3,M2,M10,M2 + M10,0.9997801733992226,0.9995605400084376,1.0,0.9997802217123366,0.9999888326555909,3.5594980716705322
D3,M3,M10,M3 + M10,0.9788702671332853,0.9882028112449799,0.969312206531488,0.9786663588987828,0.9985904705832648,159.43314385414124
D3,M4,M10,M4 + M10,0.999718621951005,0.9994375604183144,1.0,0.9997187011023401,0.9999874720138658,20.94056797027588
D3,M5,M10,M5 + M10,0.9993493132616992,0.9991912941052372,0.9995075884142588,0.9993494162329442,0.9999238864843605,10.815383911132812
D4,M1,M6,M1 + M6,0.998121554720691,0.4727272727272727,0.7959183673469388,0.5931558935361216,0.8750851476634549,0.42032790184020996
D4,M2,M6,M2 + M6,0.9996137776061234,0.9523809523809523,0.8163265306122449,0.8791208791208791,0.9526697426297475,3.552788019180298
D4,M3,M6,M3 + M6,0.9985077771145676,0.6666666666666666,0.2653061224489796,0.3795620437956204,0.4080481499718627,167.23374271392822
D4,M4,M6,M4 + M6,0.9996313331694814,0.9529411764705882,0.826530612244898,0.8852459016393442,0.9526934296509825,29.25744891166687
D4,M5,M6,M5 + M6,0.9994908886626171,0.8556701030927835,0.8469387755102041,0.8512820512820513,0.9629418347248859,11.43999195098877
D4,M1,M7,M1 + M7,0.9980337769039008,0.45394736842105265,0.7040816326530612,0.552,0.7937290226304364,0.38471293449401855
D4,M2,M7,M2 + M7,0.9996313331694814,0.9529411764705882,0.826530612244898,0.8852459016393442,0.9526105250766598,3.8693597316741943
D4,M3,M7,M3 + M7,0.9985077771145676,0.6666666666666666,0.2653061224489796,0.3795620437956204,0.4080481499718627,168.03831100463867
D4,M4,M7,M4 + M7,0.9995786664794073,0.9302325581395349,0.8163265306122449,0.8695652173913043,0.9578722738391924,28.609065771102905
D4,M5,M7,M5 + M7,0.9994908886626171,0.9058823529411765,0.7857142857142857,0.8415300546448088,0.9690110955749773,12.57605767250061
D4,M1,M8,M1 + M8,0.9982619992275552,0.4968553459119497,0.8061224489795918,0.6147859922178989,0.8713038377281133,0.3298039436340332
D4,M2,M8,M2 + M8,0.9995962220427653,0.9518072289156626,0.8061224489795918,0.8729281767955801,0.9527432262297153,3.785444974899292
D4,M3,M8,M3 + M8,0.9985077771145676,0.6666666666666666,0.2653061224489796,0.3795620437956204,0.4080481499718627,167.19340229034424
D4,M4,M8,M4 + M8,0.9996137776061234,0.9418604651162791,0.826530612244898,0.8804347826086957,0.9528076477495895,27.720085859298706
D4,M5,M8,M5 + M8,0.999420666409185,0.8735632183908046,0.7755102040816326,0.8216216216216217,0.9693737582258566,11.014656066894531
D4,M1,M9,M1 + M9,0.9986657771847899,0.5859375,0.7653061224489796,0.6637168141592921,0.8492129089959,0.4604010581970215
D4,M2,M9,M2 + M9,0.9995786664794073,0.9512195121951219,0.7959183673469388,0.8666666666666667,0.952660142208262,3.850304126739502
D4,M3,M9,M3 + M9,0.9985077771145676,0.6666666666666666,0.2653061224489796,0.3795620437956204,0.4080481499718627,168.00845384597778
D4,M4,M9,M4 + M9,0.9995611109160493,0.9397590361445783,0.7959183673469388,0.861878453038674,0.9527940994912314,29.56355381011963
D4,M5,M9,M5 + M9,0.9992977774656788,0.8222222222222222,0.7551020408163265,0.7872340425531915,0.9762097966648674,10.56014108657837
D4,M1,M10,M1 + M10,0.9977704434535304,0.4161849710982659,0.7346938775510204,0.5313653136531366,0.8206030249043904,0.378690242767334
D4,M2,M10,M2 + M10,0.9996137776061234,0.9523809523809523,0.8163265306122449,0.8791208791208791,0.9527790259322637,3.730745792388916
D4,M3,M10,M3 + M10,0.9984024437344194,0.8181818181818182,0.09183673469387756,0.1651376146788991,0.23986321104131014,166.69640803337097
D4,M4,M10,M4 + M10,0.9996137776061234,0.9418604651162791,0.826530612244898,0.8804347826086957,0.9528604949295418,29.1523380279541
D4,M5,M10,M5 + M10,0.9993679997191109,0.8229166666666666,0.8061224489795918,0.8144329896907216,0.9696009382931564,14.281438112258911
D5,M1,M6,M1 + M6,0.9956658376231515,0.6276235612728503,0.6175882744836776,0.6225654801880457,0.915317262499491,0.38585495948791504
D5,M2,M6,M2 + M6,0.9951221393178707,0.8390804597701149,0.19453697534976683,0.31584640346133047,0.9310294723143192,2.8522720336914062
D5,M3,M6,M3 + M6,0.9966992500048201,0.7582065652522018,0.6309127248501,0.6887272727272727,0.9589262980493101,99.38269996643066
D5,M4,M6,M4 + M6,0.9966336977268784,0.8496659242761693,0.508327781479014,0.6360983743226344,0.9443057299823806,7.9924399852752686
D5,M5,M6,M5 + M6,0.9950758671216766,0.5632768361581921,0.6642238507661559,0.6095995108529502,0.9632411840500779,36.81576585769653
D5,M1,M7,M1 + M7,0.9957082538029961,0.6370056497175142,0.6009327115256495,0.6184436064449778,0.9226142496788586,0.3728499412536621
D5,M2,M7,M2 + M7,0.9946902654867257,0.8369565217391305,0.10259826782145237,0.1827893175074184,0.9348574534089318,2.94936203956604
D5,M3,M7,M3 + M7,0.9967455222010141,0.7521105141980046,0.6528980679546968,0.6990014265335235,0.9592651430277169,36.9611451625824
D5,M4,M7,M4 + M7,0.9967416661846646,0.8489361702127659,0.5316455696202531,0.6538303973781238,0.9476399032276355,8.771115064620972
D5,M5,M7,M5 + M7,0.9954229085931324,0.600383631713555,0.6255829447035309,0.6127243066884176,0.9628741820916678,37.806129693984985
D5,M1,M8,M1 + M8,0.995623421443307,0.6196078431372549,0.631578947368421,0.6255361266908611,0.9321122822224777,0.3252720832824707
D5,M2,M8,M2 + M8,0.9947288256502208,0.8489583333333334,0.10859427048634245,0.19255759007678677,0.9328659303937232,3.09409499168396
D5,M3,M8,M3 + M8,0.9963637765824127,0.748220640569395,0.5602931379080613,0.6407619047619048,0.9670899166089837,38.17079186439514
D5,M4,M8,M4 + M8,0.9967493782173636,0.853763440860215,0.5289806795469687,0.6532291238173591,0.9487747907583939,8.585521936416626
D5,M5,M8,M5 + M8,0.9953072281026472,0.5924479166666666,0.6062624916722186,0.5992756009219624,0.9562377586450649,38.350167989730835
D5,M1,M9,M1 + M9,0.9958393583588795,0.6469359331476323,0.6189207195203198,0.6326183180115764,0.9331792139401138,0.3202331066131592
